samples,features,classes,clusters,seed,population_size,point,class,target,model,min_fitness,mean_fitness,fitness_std,max_fitness,accuracy
10,32,2,1,1,2000,0,1,0,RandomForestClassifier,-6.10618042612982,-5.918580334920123,0.15326385858333177,-5.524540361488123,1.0
10,32,2,1,1,2000,0,1,1,RandomForestClassifier,-1.2600074934217165,-0.7734501602833361,0.3254078731997093,-0.0631554845499096,1.0
10,32,2,1,1,2000,1,0,0,RandomForestClassifier,-1.225636715392555,-0.7773798026057999,0.29518230154709135,-0.056605125082726415,1.0
10,32,2,1,1,2000,1,0,1,RandomForestClassifier,-6.805152976290075,-6.533425323689322,0.16759962226157224,-6.21481871738085,1.0
10,32,2,1,1,2000,2,0,0,RandomForestClassifier,-1.441745406851592,-0.7195659304081181,0.38521532528356045,-0.013189394846055524,1.0
10,32,2,1,1,2000,2,0,1,RandomForestClassifier,-6.251035741702533,-5.819259054384045,0.40274654943330807,-5.076210255685369,1.0
10,32,2,1,1,2000,3,0,0,RandomForestClassifier,-1.4036088290399875,-0.7083749072331965,0.38496417022543145,-0.00801554896443335,1.0
10,32,2,1,1,2000,3,0,1,RandomForestClassifier,-5.924910438417823,-5.608731712931817,0.22186227990362345,-5.122174705348438,1.0
10,32,2,1,1,2000,4,1,0,RandomForestClassifier,-5.233722534386994,-4.786736905661839,0.3030386197323454,-4.244813815529576,1.0
10,32,2,1,1,2000,4,1,1,RandomForestClassifier,-1.4216544150884565,-0.8530340648141878,0.36205195274129026,-0.07381098118743612,1.0
10,32,2,1,1,2000,5,0,0,RandomForestClassifier,-1.0546800112442087,-0.6571029344383299,0.26382637992489083,-0.030851574708013696,1.0
10,32,2,1,1,2000,5,0,1,RandomForestClassifier,-3.611791384886975,-3.0041145286400615,0.3658861944721552,-2.457673677125525,1.0
10,32,2,1,1,2000,6,1,0,RandomForestClassifier,-9.1105465225919,-8.792266395037998,0.13841235659514986,-8.340077427331462,1.0
10,32,2,1,1,2000,6,1,1,RandomForestClassifier,-1.413285300622828,-0.756619907132846,0.3543433076805596,-0.018501653774299243,1.0
10,32,2,1,1,2000,7,0,0,RandomForestClassifier,-1.571902134207013,-0.8779747209078181,0.4203032162455802,-0.06026911369980015,1.0
10,32,2,1,1,2000,7,0,1,RandomForestClassifier,-5.845525860960703,-5.376531935929596,0.37045336432862574,-4.510168547995383,1.0
10,32,2,1,1,2000,8,1,0,RandomForestClassifier,-4.0695519813158585,-3.603658123752099,0.2945286599486656,-3.1184062456764896,1.0
10,32,2,1,1,2000,8,1,1,RandomForestClassifier,-0.915491259294759,-0.5731123751732895,0.2501941580291213,-0.005621961692898969,1.0
10,32,2,1,1,2000,9,1,0,RandomForestClassifier,-3.351048066236977,-2.7732783376053187,0.4293548360875717,-1.6596825700169022,1.0
10,32,2,1,1,2000,9,1,1,RandomForestClassifier,-0.8653426092305135,-0.4884777723318915,0.22956338623260844,-0.01682524635601723,1.0
10,4,2,1,1,2000,0,0,0,RandomForestClassifier,-0.03408647327255017,-0.017216727450017,0.009597779518835682,-0.0008112679969098924,1.0
10,4,2,1,1,2000,0,0,1,RandomForestClassifier,-2.234969180294667,-2.2326775779426993,0.002257230079188104,-2.204040977172779,1.0
10,4,2,1,1,2000,1,0,0,RandomForestClassifier,-0.047717049769170516,-0.023735302957084307,0.013443392493540093,-0.0015629417564282377,1.0
10,4,2,1,1,2000,1,0,1,RandomForestClassifier,-0.36142302038230695,-0.35601761561838813,0.003101190793258463,-0.3377237971721174,1.0
